"Day","Month","Year","Hour","Site","Parameter","Date__LT_","AQI","Raw_Conc_","Conc__Unit","Duration","QC_Name","AQI_Category","NowCast_Conc_","Date","tempC","windspeedKmph","weatherDesc","humidity","visibility","weatherDescNew","windspeed_Cat","humidity_cat"
1,12,2020,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:10:00:00",81,18,"UG/M3","1 Hr","Valid","Moderate",26.6,"01-12-2020",27,7,"Light rain shower",78,10,"Light rain shower","Medium","Humid"
1,12,2020,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:11:00:00",69,15,"UG/M3","1 Hr","Valid","Moderate",20.8,"01-12-2020",28,7,"Cloudy",74,10,"Cloudy","Medium","Humid"
1,12,2020,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:12:00:00",70,21,"UG/M3","1 Hr","Valid","Moderate",20.9,"01-12-2020",29,8,"Cloudy",69,10,"Cloudy","Medium","Humid"
1,12,2020,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:13:00:00",61,13,"UG/M3","1 Hr","Valid","Moderate",16.9,"01-12-2020",29,7,"Cloudy",68,10,"Cloudy","Medium","Humid"
1,12,2020,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:14:00:00",58,14,"UG/M3","1 Hr","Valid","Moderate",15.4,"01-12-2020",30,6,"Partly cloudy",66,10,"Partly cloudy","Low","Humid"
1,12,2020,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:15:00:00",54,12,"UG/M3","1 Hr","Valid","Moderate",13.7,"01-12-2020",30,5,"Partly cloudy",64,10,"Partly cloudy","Low","Humid"
1,12,2020,16,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:16:00:00",62,21,"UG/M3","1 Hr","Valid","Moderate",17.3,"01-12-2020",29,4,"Partly cloudy",68,10,"Partly cloudy","Low","Humid"
1,12,2020,17,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:17:00:00",66,21,"UG/M3","1 Hr","Valid","Moderate",19.1,"01-12-2020",28,3,"Light rain shower",71,10,"Light rain shower","Low","Humid"
1,12,2020,18,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:18:00:00",67,20,"UG/M3","1 Hr","Valid","Moderate",19.5,"01-12-2020",28,3,"Light rain shower",75,10,"Light rain shower","Low","Humid"
1,12,2020,19,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:19:00:00",70,23,"UG/M3","1 Hr","Valid","Moderate",21.2,"01-12-2020",27,2,"Light rain shower",77,10,"Light rain shower","Low","Humid"
1,12,2020,2,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:02:00:00",97,36,"UG/M3","1 Hr","Valid","Moderate",33.9,"01-12-2020",25,6,"Light rain shower",90,10,"Light rain shower","Low","Humid"
1,12,2020,20,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:20:00:00",75,26,"UG/M3","1 Hr","Valid","Moderate",23.6,"01-12-2020",27,2,"Light rain shower",80,10,"Light rain shower","Low","Humid"
1,12,2020,21,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:21:00:00",71,20,"UG/M3","1 Hr","Valid","Moderate",21.8,"01-12-2020",26,2,"Light rain shower",82,10,"Light rain shower","Low","Humid"
1,12,2020,22,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:22:00:00",76,26,"UG/M3","1 Hr","Valid","Moderate",23.9,"01-12-2020",26,2,"Light rain shower",83,10,"Light rain shower","Low","Humid"
1,12,2020,23,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:23:00:00",76,24,"UG/M3","1 Hr","Valid","Moderate",23.9,"01-12-2020",26,3,"Partly cloudy",85,10,"Partly cloudy","Low","Humid"
1,12,2020,3,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:03:00:00",86,24,"UG/M3","1 Hr","Valid","Moderate",28.9,"01-12-2020",25,7,"Light rain shower",91,10,"Light rain shower","Medium","Humid"
1,12,2020,4,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:04:00:00",109,49,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",38.9,"01-12-2020",25,7,"Light rain shower",91,10,"Light rain shower","Medium","Humid"
1,12,2020,5,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:05:00:00",116,44,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",41.5,"01-12-2020",24,7,"Light rain shower",91,10,"Light rain shower","Medium","Humid"
1,12,2020,6,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:06:00:00",117,43,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",42.2,"01-12-2020",24,7,"Light rain shower",91,10,"Light rain shower","Medium","Humid"
1,12,2020,7,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:07:00:00",115,40,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",41.1,"01-12-2020",25,7,"Light rain shower",88,10,"Light rain shower","Medium","Humid"
1,12,2020,8,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:08:00:00",106,34,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",37.5,"01-12-2020",25,6,"Light rain shower",85,10,"Light rain shower","Low","Humid"
